# 这是接口或订阅源的白名单，白名单内的接口或订阅源获取的接口将不会参与测速，优先排序至结果最前。
# 填写频道名称会直接保留该记录至最终结果，如：CCTV-1,接口地址，只填写接口地址则对所有频道生效，多条记录换行输入。
# This is the whitelist of the interface or subscription source. The interface in the whitelist or the interface obtained by the subscription source will not participate in the speed measurement and will be prioritized in the result.
# Filling in the channel name will directly retain the record to the final result, such as: CCTV-1,url, only fill in the interface address will be effective for all channels, multiple records newline input.



🎵音乐频道,#genre#
音乐小石榴,http://hy.tzk.cc.cd/?id=17091681
音乐小石榴,https://live.ottiptv.cc/huya/17091681
音乐小石榴,http://shorturl.jxpan.vip:880/r/baoshi_aio/huya/17091681
音乐小石榴,http://live.chinacert.cftest5.cn/huya/17091681
秋月剪水,https://douyu.tzk.cc.cd/?id=9588891
秋月剪水,http://live.nctv.top/douyu1.php?id=9588891
秋月剪水,http://iptv77.iptv66.eu.org:35455/douyu/9588891
喵喵音乐台,https://douyu.tzk.cc.cd/?id=9568091
喵喵音乐台,http://live.nctv.top/douyu1.php?id=9568091
喵喵音乐台,http://iptv77.iptv66.eu.org:35455/douyu/9568091
阿7点歌台,https://douyu.tzk.cc.cd/?id=3186217
阿7点歌台,http://live.nctv.top/douyu1.php?id=3186217
阿7点歌台,http://iptv77.iptv66.eu.org:35455/douyu/3186217
音悦喵点歌台,https://douyu.tzk.cc.cd/?id=3870925
音悦喵点歌台,http://live.nctv.top/douyu1.php?id=3870925
音悦喵点歌台,http://iptv77.iptv66.eu.org:35455/douyu/3870925
下饭音乐,https://douyu.tzk.cc.cd/?id=8661966
下饭音乐,http://live.nctv.top/douyu1.php?id=8661966
下饭音乐,http://iptv77.iptv66.eu.org:35455/douyu/8661966
音乐台长,https://douyu.tzk.cc.cd/?id=9629943
音乐台长,http://live.nctv.top/douyu1.php?id=9629943
音乐台长,http://iptv77.iptv66.eu.org:35455/douyu/9629943
音乐Wu哥,https://douyu.tzk.cc.cd/?id=8667755
音乐Wu哥,http://live.nctv.top/douyu1.php?id=8667755
音乐Wu哥,http://iptv77.iptv66.eu.org:35455/douyu/8667755
音乐快斗,https://douyu.tzk.cc.cd/?id=8324627
音乐快斗,http://live.nctv.top/douyu1.php?id=8324627
音乐快斗,http://iptv77.iptv66.eu.org:35455/douyu/8324627
音乐猛抬头,https://douyu.tzk.cc.cd/?id=8666105
音乐猛抬头,http://live.nctv.top/douyu1.php?id=8666105
音乐猛抬头,http://iptv77.iptv66.eu.org:35455/douyu/8666105
黑糖音乐秀,https://douyu.tzk.cc.cd/?id=9560563
黑糖音乐秀,http://live.nctv.top/douyu1.php?id=9560563
黑糖音乐秀,http://iptv77.iptv66.eu.org:35455/douyu/9560563
荒草音乐,https://douyu.tzk.cc.cd/?id=8706465
荒草音乐,http://live.nctv.top/douyu1.php?id=8706465
荒草音乐,http://iptv77.iptv66.eu.org:35455/douyu/8706465
音乐Fans小琼,https://douyu.tzk.cc.cd/?id=8666210
音乐Fans小琼,http://live.nctv.top/douyu1.php?id=8666210
音乐Fans小琼,http://iptv77.iptv66.eu.org:35455/douyu/8666210
小飞飞音乐,https://douyu.tzk.cc.cd/?id=10469362
小飞飞音乐,http://live.nctv.top/douyu1.php?id=10469362
小飞飞音乐,http://iptv77.iptv66.eu.org:35455/douyu/10469362
热星音乐菌,https://douyu.tzk.cc.cd/?id=8405922
热星音乐菌,http://live.nctv.top/douyu1.php?id=8405922
热星音乐菌,http://iptv77.iptv66.eu.org:35455/douyu/8405922
蚕豆电台,https://douyu.tzk.cc.cd/?id=8768792
蚕豆电台,http://live.nctv.top/douyu1.php?id=8768792
蚕豆电台,http://iptv77.iptv66.eu.org:35455/douyu/8768792
刘德华今日演唱会1-3,https://sns-video-default.xhscdn.com/stream/1/110/258/01e8d5752d2b128a010370019981d8805d_258.mp4
刘德华今日演唱会2-3,https://sns-video-default.xhscdn.com/stream/79/110/258/01e8d575b81a468c4f0370019981d7590e_258.mp4
刘德华今日演唱会3-3,https://sns-video-default.xhscdn.com/stream/79/110/258/01e8d576391a55d74f0370019981d9b2f3_258.mp4
湾区升明月2025大湾区电影音乐晚会,https://vip.dytt-kan.com/20251002/7177_2723ad49/index.m3u8
张学友演唱会,https://alimov2.a.kwimgs.com/upic/2020/05/11/04/BMjAyMDA1MTEwNDE3NTRfMTA4ODgyMjg1OF8yODM1OTM2NTkxMl8yXzM=_b_Bf2cbd177f1349dcfc12d89443cf374af.mp4
S H E《2014 世界巡回演唱会 台北站 完整版》,https://vd2.bdstatic.com/mda-nmtebs1e731y7hfu/576p/h264/1672223127459067725/mda-nmtebs1e731y7hfu.mp4
S H E《2018 十七周年台北演唱会 完整版》,https://vd2.bdstatic.com/mda-nmtfbgevwx16brb0/576p/h264/1672224992649095576/mda-nmtfbgevwx16brb0.mp4
S H E《4EVER世界巡回演唱会 完整版》珍藏版,https://vd3.bdstatic.com/mda-nmkefmyd0arci215/576p/h264/1671618057578437373/mda-nmkefmyd0arci215.mp4
刘若英合集,https://vd4.bdstatic.com/mda-paj1zjmiy8f0u7e9/sc/cae_h264/1674182802321283228/mda-paj1zjmiy8f0u7e9.mp4
云菲菲40首经典歌曲,https://txmov2.a.kwimgs.com/bs3/video-hls/5207287179922382380_hlsb.m3u8
孟庭苇,https://vd4.bdstatic.com/mda-pah0g785da3bd8cg/hd/cae_h264/1674003403215729852/mda-pah0g785da3bd8cg.mp4
🐹NewTV临时,#genre#
NewTV黑莓电影,http://129.211.14.102:25000/newtv.php?id=hmdy&token=www.9kds.com
NewTV黑莓动画,http://129.211.14.102:25000/newtv.php?id=hmdh&token=www.9kds.com
NewTV古装剧场,http://129.211.14.102:25000/newtv.php?id=gzjc&token=www.9kds.com
NewTV动作电影,http://129.211.14.102:25000/newtv.php?id=dzdy&token=www.9kds.com
NewTV军旅剧场,http://129.211.14.102:25000/newtv.php?id=jljc&token=www.9kds.com
NewTV家庭剧场,http://129.211.14.102:25000/newtv.php?id=jtjc&token=www.9kds.com
NewTV惊悚悬疑,http://129.211.14.102:25000/newtv.php?id=jsxy&token=www.9kds.com
NewTV热播精选,http://129.211.14.102:25000/newtv.php?id=rbjx&token=www.9kds.com
NewTV精品综合,http://129.211.14.102:25000/newtv.php?id=jpzh&token=www.9kds.com
NewTV爱情喜剧,http://129.211.14.102:25000/newtv.php?id=aqxj&token=www.9kds.com
NewTV精品大剧,http://129.211.14.102:25000/newtv.php?id=jpds&token=www.9kds.com
NewTV中国功夫,http://129.211.14.102:25000/newtv.php?id=zggf&token=www.9kds.com
NewTV潮妈辣婆,http://129.211.14.102:25000/newtv.php?id=cmnp&token=www.9kds.com
NewTV炫舞未来,http://129.211.14.102:25000/newtv.php?id=xwwl&token=www.9kds.com
NewTV哒啵赛事,http://129.211.14.102:25000/newtv.php?id=dbsa&token=www.9kds.com
NewTV精品体育,http://129.211.14.102:25000/newtv.php?id=jpty&token=www.9kds.com
NewTV金牌综艺,http://129.211.14.102:25000/newtv.php?id=jpzy&token=www.9kds.com
NewTV军事评论,http://129.211.14.102:25000/newtv.php?id=jspl&token=www.9kds.com
NewTV农业致富,http://129.211.14.102:25000/newtv.php?id=nyzf&token=www.9kds.com
NewTV精品纪录,http://129.211.14.102:25000/newtv.php?id=jpjl&token=www.9kds.com
NewTV怡伴健康,http://129.211.14.102:25000/newtv.php?id=ybjk&token=www.9kds.com
NewTV精品萌宠,http://129.211.14.102:25000/newtv.php?id=jpmc&token=www.9kds.com
NewTV健康生活,http://129.211.14.102:25000/newtv.php?id=jksh&token=www.9kds.com
NewTV精品体育,http://129.211.14.102:25000/newtv.php?id=jpty2&token=www.9kds.com
天元围棋,http://129.211.14.102:25000/newtv.php?id=tywg&token=www.9kds.com
NewTV精品萌宠,http://gxgp.537224.xyz/PLTV/77777777/224/3221225979/index.m3u8?servicetype=3&IASHttpSessionId=OTT $广西移动
NewTV黑莓电影,http://gxgp.537224.xyz/PLTV/77777777/224/3221225740/index.m3u8?servicetype=3&IASHttpSessionId=OTT $广西移动
NewTV黑莓动画,http://gxgp.537224.xyz/PLTV/77777777/224/3221225710/index.m3u8?servicetype=3&IASHttpSessionId=OTT $广西移动
NewTV哒啵赛事,http://gxgp.537224.xyz/PLTV/77777777/224/3221225760/index.m3u8?servicetype=3&IASHttpSessionId=OTT $广西移动
NewTV哒啵电竞,http://gxgp.537224.xyz/PLTV/77777777/224/3221225880/index.m3u8?servicetype=3&IASHttpSessionId=OTT $广西移动
NewTV古装剧场,http://gxgp.537224.xyz/PLTV/77777777/224/3221225706/index.m3u8?servicetype=3&IASHttpSessionId=OTT $广西移动
NewTV动作电影,http://gxgp.537224.xyz/PLTV/77777777/224/3221225703/index.m3u8?servicetype=3&IASHttpSessionId=OTT $广西移动
NewTV军旅剧场,http://gxgp.537224.xyz/PLTV/77777777/224/3221225727/index.m3u8?servicetype=3&IASHttpSessionId=OTT $广西移动
NewTV家庭剧场,http://gxgp.537224.xyz/PLTV/77777777/224/3221225743/index.m3u8?servicetype=3&IASHttpSessionId=OTT $广西移动
NewTV惊悚悬疑,http://gxgp.537224.xyz/PLTV/77777777/224/3221225746/index.m3u8?servicetype=3&IASHttpSessionId=OTT $广西移动
NewTV热播精选,http://gxgp.537224.xyz/PLTV/77777777/224/3221225763/index.m3u8?servicetype=3&IASHttpSessionId=OTT $广西移动
NewTV精品综合,http://gxgp.537224.xyz/PLTV/77777777/224/3221225733/index.m3u8?servicetype=3&IASHttpSessionId=OTT $广西移动
NewTV爱情喜剧,http://gxgp.537224.xyz/PLTV/77777777/224/3221225698/index.m3u8?servicetype=3&IASHttpSessionId=OTT $广西移动
NewTV精品大剧,http://gxgp.537224.xyz/PLTV/77777777/224/3221225737/index.m3u8?servicetype=3&IASHttpSessionId=OTT $广西移动
NewTV中国功夫,http://gxgp.537224.xyz/PLTV/77777777/224/3221225690/index.m3u8?servicetype=3&IASHttpSessionId=OTT $广西移动
NewTV谍战大剧,http://gxgp.537224.xyz/PLTV/77777777/224/3221225755/index.m3u8?servicetype=3&IASHttpSessionId=OTT $广西移动
NewTV军事评论,http://gxgp.537224.xyz/PLTV/77777777/224/3221225749/index.m3u8?servicetype=3&IASHttpSessionId=OTT $广西移动
NewTV农业致富,http://gxgp.537224.xyz/PLTV/77777777/224/3221225687/index.m3u8?servicetype=3&IASHttpSessionId=OTT $广西移动
NewTV烽烟剧场,http://gxgp.537224.xyz/PLTV/77777777/224/3221225681/index.m3u8?servicetype=3&IASHttpSessionId=OTT $广西移动
NewTV怡伴健康,http://gxgp.537224.xyz/PLTV/77777777/224/3221225684/index.m3u8?servicetype=3&IASHttpSessionId=OTT $广西移动
NewTV精品体育,http://gxgp.537224.xyz/PLTV/77777777/224/3221225724/index.m3u8?servicetype=3&IASHttpSessionId=OTT $广西移动
NewTV潮妈辣婆,http://gxgp.537224.xyz/PLTV/77777777/224/3221225709/index.m3u8?servicetype=3&IASHttpSessionId=OTT $广西移动
NewTV炫舞未来,http://gxgp.537224.xyz/PLTV/77777777/224/3221225973/index.m3u8?servicetype=3&IASHttpSessionId=OTT $广西移动
睛彩竞技,http://gxgp.537224.xyz/PLTV/77777777/224/3221225972/index.m3u8?servicetype=3&IASHttpSessionId=OTT $广西移动
睛彩篮球,http://gxgp.537224.xyz/PLTV/77777777/224/3221225961/index.m3u8?servicetype=3&IASHttpSessionId=OTT $广西移动
睛彩青少,http://gxgp.537224.xyz/PLTV/77777777/224/3221226055/index.m3u8?servicetype=3&IASHttpSessionId=OTT $广西移动
睛彩广场舞,http://gxgp.537224.xyz/PLTV/77777777/224/3221226326/index.m3u8?servicetype=3&IASHttpSessionId=OTT $广西移动
🐹咪咕央卫,#genre#

辽宁公共,http://fn.gcl.de5.net:5908/gsh950428/962045223
辽宁生活,http://fn.gcl.de5.net:5908/gsh950428/962045226
辽宁影视剧,http://fn.gcl.de5.net:5908/gsh950428/962067517
宁夏文旅,http://fn.gcl.de5.net:5908/gsh950428/962067523
宁夏经济,http://fn.gcl.de5.net:5908/gsh950428/962067520
经典香港电影,http://fn.gcl.de5.net:5908/gsh950428/625703337
抗战经典影片,http://fn.gcl.de5.net:5908/gsh950428/617432318
新片放映厅,http://fn.gcl.de5.net:5908/gsh950428/619495952
CHC影迷电影,http://fn.gcl.de5.net:5908/gsh950428/952383261
CHC动作电影,http://fn.gcl.de5.net:5908/gsh950428/644368714
CHC家庭影院,http://fn.gcl.de5.net:5908/gsh950428/644368373
南方影视,http://fn.gcl.de5.net:5908/gsh950428/614961829
中国天气,http://fn.gcl.de5.net:5908/gsh950428/959986621
咪咕24小时体育台,http://fn.gcl.de5.net:5908/gsh950428/654102378
高清大片,http://fn.gcl.de5.net:5908/gsh950428/629943678
和美乡途轮播台,http://fn.gcl.de5.net:5908/gsh950428/713591450
中国天气,http://fn.gcl.de5.net:5908/gsh950428/959986621
山东教育卫视,http://fn.gcl.de5.net:5908/gsh950428/609154353
武术世界,http://fn.gcl.de5.net:5908/gsh950428/958475359
最强综艺趴,http://fn.gcl.de5.net:5908/gsh950428/629942228
嘉佳卡通,http://fn.gcl.de5.net:5908/gsh950428/614952364
经典动画大集合,http://fn.gcl.de5.net:5908/gsh950428/629942219
新动漫,http://fn.gcl.de5.net:5908/gsh950428/961930269
新动力量创一流,http://fn.gcl.de5.net:5908/gsh950428/713589837
中华特产,http://fn.gcl.de5.net:5908/gsh950428/959986618
环球旅游,http://fn.gcl.de5.net:5908/gsh950428/958475356
梨园频道,http://fn.gcl.de5.net:5908/gsh950428/961930369
老故事,http://fn.gcl.de5.net:5908/gsh950428/884121956
发现之旅,http://fn.gcl.de5.net:5908/gsh950428/624878970
中学生,http://fn.gcl.de5.net:5908/gsh950428/708869532
赛事最经典,http://fn.gcl.de5.net:5908/gsh950428/646596895
体坛名栏汇,http://fn.gcl.de5.net:5908/gsh950428/629943305
四海钓鱼,http://fn.gcl.de5.net:5908/gsh950428/637444975
陕西体育休闲,http://fn.gcl.de5.net:5908/gsh950428/956909356
快乐垂钓,http://fn.gcl.de5.net:5908/gsh950428/961930263
财富天下,http://fn.gcl.de5.net:5908/gsh950428/956923159

CCTV-1,http://fn.gcl.de5.net:5908/gsh950428/608807420
CCTV-2,http://fn.gcl.de5.net:5908/gsh950428/631780532
CCTV-3,http://fn.gcl.de5.net:5908/gsh950428/624878271
CCTV-4,http://fn.gcl.de5.net:5908/gsh950428/631780421
CCTV-5,http://fn.gcl.de5.net:5908/gsh950428/641886683
CCTV-5+,http://fn.gcl.de5.net:5908/gsh950428/641886773
CCTV-6,http://fn.gcl.de5.net:5908/gsh950428/624878396
CCTV-7,http://fn.gcl.de5.net:5908/gsh950428/673168121
CCTV-8,http://fn.gcl.de5.net:5908/gsh950428/624878356
CCTV-9,http://fn.gcl.de5.net:5908/gsh950428/673168140
CCTV-10,http://fn.gcl.de5.net:5908/gsh950428/624878405
CCTV-11,http://fn.gcl.de5.net:5908/gsh950428/667987558
CCTV-12,http://fn.gcl.de5.net:5908/gsh950428/673168185
CCTV-13,http://fn.gcl.de5.net:5908/gsh950428/608807423
CCTV-14,http://fn.gcl.de5.net:5908/gsh950428/624878440
CCTV-15,http://fn.gcl.de5.net:5908/gsh950428/673168223
CCTV-17,http://fn.gcl.de5.net:5908/gsh950428/673168256
CCTV-4欧洲,http://fn.gcl.de5.net:5908/gsh950428/608807419
CCTV-4美洲,http://fn.gcl.de5.net:5908/gsh950428/608807416
CGTN外语纪录,http://fn.gcl.de5.net:5908/gsh950428/609006487
CGTN阿拉伯语,http://fn.gcl.de5.net:5908/gsh950428/609154345
CGTN西班牙语,http://fn.gcl.de5.net:5908/gsh950428/609006450
CGTN法语频道,http://fn.gcl.de5.net:5908/gsh950428/609006476
CGTN俄语频道,http://fn.gcl.de5.net:5908/gsh950428/609006446
CETV-1,http://fn.gcl.de5.net:5908/gsh950428/923287154
CETV-2,http://fn.gcl.de5.net:5908/gsh950428/923287211
CETV-4,http://fn.gcl.de5.net:5908/gsh950428/923287339
CGTN,http://fn.gcl.de5.net:5908/gsh950428/609017205
东方卫视,http://fn.gcl.de5.net:5908/gsh950428/651632648
江苏卫视,http://fn.gcl.de5.net:5908/gsh950428/623899368
北京卫视,http://fn.gcl.de5.net:5908/gsh950428/630287636
辽宁卫视,http://fn.gcl.de5.net:5908/gsh950428/630291707
江西卫视,http://fn.gcl.de5.net:5908/gsh950428/783847495
河南卫视,http://fn.gcl.de5.net:5908/gsh950428/790187291
陕西卫视,http://fn.gcl.de5.net:5908/gsh950428/738910838
广东卫视,http://fn.gcl.de5.net:5908/gsh950428/608831231
海峡卫视,http://fn.gcl.de5.net:5908/gsh950428/849119120
大湾区卫视,http://fn.gcl.de5.net:5908/gsh950428/608917627
湖北卫视,http://fn.gcl.de5.net:5908/gsh950428/947472496
青海卫视,http://fn.gcl.de5.net:5908/gsh950428/947472506
东南卫视,http://fn.gcl.de5.net:5908/gsh950428/849116810
海南卫视,http://fn.gcl.de5.net:5908/gsh950428/947472502
农林卫视,http://fn.gcl.de5.net:5908/gsh950428/956904896
兵团卫视,http://fn.gcl.de5.net:5908/gsh950428/956923145
河北卫视,http://fn.gcl.de5.net:5908/gsh950428/962042070
宁夏卫视,http://fn.gcl.de5.net:5908/gsh950428/738910535
重庆卫视,http://fn.gcl.de5.net:5908/gsh950428/738910914
河北卫视,http://fn.gcl.de5.net:5908/gsh950428/962042070
吉林卫视,http://fn.gcl.de5.net:5908/gsh950428/947472500
三沙卫视,http://fn.gcl.de5.net:5908/gsh950428/961023778
上海新闻综合,http://fn.gcl.de5.net:5908/gsh950428/651632657
上视东方影视,http://fn.gcl.de5.net:5908/gsh950428/617290047
上海第一财经,http://fn.gcl.de5.net:5908/gsh950428/608780988
江苏体育休闲,http://fn.gcl.de5.net:5908/gsh950428/626064707
江苏城市频道,http://fn.gcl.de5.net:5908/gsh950428/626064714
江苏国际,http://fn.gcl.de5.net:5908/gsh950428/626064674
江苏教育,http://fn.gcl.de5.net:5908/gsh950428/628008321
江苏影视频道,http://fn.gcl.de5.net:5908/gsh950428/626064697
江苏综艺,http://fn.gcl.de5.net:5908/gsh950428/626065193
江苏公共新闻,http://fn.gcl.de5.net:5908/gsh950428/626064693
优漫卡通,http://fn.gcl.de5.net:5908/gsh950428/626064703
陕西银龄频道,http://fn.gcl.de5.net:5908/gsh950428/956909362
陕西都市青春频道,http://fn.gcl.de5.net:5908/gsh950428/956909358
陕西秦腔频道,http://fn.gcl.de5.net:5908/gsh950428/956909303
陕西新闻资讯,http://fn.gcl.de5.net:5908/gsh950428/956909289
南京新闻综合,http://fn.gcl.de5.net:5908/gsh950428/838109047
南京教科频道,http://fn.gcl.de5.net:5908/gsh950428/838153729
南京十八频道,http://fn.gcl.de5.net:5908/gsh950428/838151753
盐城新闻综合,http://fn.gcl.de5.net:5908/gsh950428/639731825
淮安新闻综合,http://fn.gcl.de5.net:5908/gsh950428/639731826
泰州新闻综合,http://fn.gcl.de5.net:5908/gsh950428/639731818
连云港新闻综合,http://fn.gcl.de5.net:5908/gsh950428/639731715
宿迁新闻综合,http://fn.gcl.de5.net:5908/gsh950428/639731832
徐州新闻综合,http://fn.gcl.de5.net:5908/gsh950428/639731747
江阴新闻综合,http://fn.gcl.de5.net:5908/gsh950428/955227979
南通新闻综合,http://fn.gcl.de5.net:5908/gsh950428/955227985
宜兴新闻综合,http://fn.gcl.de5.net:5908/gsh950428/955227996
溧水新闻综合,http://fn.gcl.de5.net:5908/gsh950428/639737327
镇江新闻综合,http://fn.gcl.de5.net:5908/gsh950428/639731783
熊猫01高清,http://fn.gcl.de5.net:5908/gsh950428/609158151
